sample_id,genbank_species,a1_assignment,a1_species,a1_clade,country,locality,match_status,source
HNFL01,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Fuluo, Hainan Island",mismatch,Yang et al. (2022)
HNFL02,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Fuluo, Hainan Island",mismatch,Yang et al. (2022)
HNFL03,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Fuluo, Hainan Island",mismatch,Yang et al. (2022)
HNLY01,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Luoyang, Henan",mismatch,Yang et al. (2022)
HNXY05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Xinyang, Henan",mismatch,Yang et al. (2022)
SHLC15,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Luchao, Shanghai",mismatch,Yang et al. (2022)
ZJDQ05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJDQ09,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJJX04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJJX10,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Hangzhou, Zhejiang",mismatch,Yang et al. (2022)
ZJLX05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX06,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX08,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX09,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX10,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX12,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX14,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX15,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJNB04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Beilun, Zhejiang",mismatch,Yang et al. (2022)
ZJPH02,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPH03,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPH04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPH05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Pinghu, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ01,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ02,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ03,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ09,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ11,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJPJ15,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZSHX06,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Huangxing, Zhoushan",mismatch,Yang et al. (2022)
ZSKZ08,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Kuzhu,Zhoushan",mismatch,Yang et al. (2022)
GZBY01,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,Guangzhou,mismatch,Yang et al. (2022)
GZBY02,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,Guangzhou,mismatch,Yang et al. (2022)
GZBY04,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,Guangzhou,mismatch,Yang et al. (2022)
GZBY05,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,Guangzhou,mismatch,Yang et al. (2022)
HNXY05,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,Shanghai,mismatch,Yang et al. (2022)
ZJPH12,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Shaoxing, Zhejiang",mismatch,Yang et al. (2022)
ZSBQ11,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Baiquan, Zhoushan",mismatch,Yang et al. (2022)
ZSDD03,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Daidong, Zhoushan",mismatch,Yang et al. (2022)
ZSDF01,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Dongfu, Zhoushan",mismatch,Yang et al. (2022)
ZSDF03,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Dongfu, Zhoushan",mismatch,Yang et al. (2022)
ZSDH02,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Donghai, Zhoushan",mismatch,Yang et al. (2022)
ZSDJ12,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Daijia, Zhoushan",mismatch,Yang et al. (2022)
ZSGJ01,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Shaoxing, Zhejiang",mismatch,Yang et al. (2022)
ZSGL04,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Ganlan,Zhoushan",mismatch,Yang et al. (2022)
ZSGQ06,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Gouqi, Zhoushan",mismatch,Yang et al. (2022)
ZSHL03,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Huanglong, Zhoushan",mismatch,Yang et al. (2022)
ZSHN01,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Huaniao, Zhoushan",mismatch,Yang et al. (2022)
ZSHX06,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Huangxing, Zhoushan",mismatch,Yang et al. (2022)
ZSJH01,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Jihu, Zhoushan",mismatch,Yang et al. (2022)
ZSKZ08,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Kuzhu, Zhoushan",mismatch,Yang et al. (2022)
ZSMZH01,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Miaozihu, Zhoushan",mismatch,Yang et al. (2022)
ZSMZH02,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Miaozihu, Zhoushan",mismatch,Yang et al. (2022)
ZSMZH03,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Miaozihu, Zhoushan",mismatch,Yang et al. (2022)
ZSNP03,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Nanpu, Zhoushan",mismatch,Yang et al. (2022)
ZSQB04,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Qingbang, Zhoushan",mismatch,Yang et al. (2022)
ZSQS02,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Qushan, Zhoushan,",mismatch,Yang et al. (2022)
ZSSN05,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Shengshan, Zhoushan",mismatch,Yang et al. (2022)
ZSSN09,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Sannong, Zhoushan",mismatch,Yang et al. (2022)
ZSSS05,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Sannong, Zhoushan",mismatch,Yang et al. (2022)
ZSTT06,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Tiantu,Zhoushan",mismatch,Yang et al. (2022)
ZSXYS01,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Xiaoyangshan,Zhoushan",mismatch,Yang et al. (2022)
ZSYD09,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Yandun,Zhoushan",mismatch,Yang et al. (2022)
ZSZM14,Fejervarya limnocharis,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Zhanmao,Zhoushan",mismatch,Yang et al. (2022)
Full mtDNA,Fejervarya kawamurai,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,China,"Zunyi city, Guizhou",match,Cheng et al. (2014)
ZJLX05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Jinhua, Zhejiang",mismatch,Yang et al. (2022)
ZJLX06,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJLX08,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJLX09,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJLX12,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJLX14,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJLX15,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJPH02,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJPH03,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJPH04,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
ZJPH05,Fejervarya limnocharis,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Zhejiang, China",mismatch,Yang et al. (2022)
Jp1,Fejervarya sakishimensis,Fejervarya sakishimensis,Fejervarya sakishimensis,,Japan,"Iriomote Island, Japan",match,Kotaki et al. (2010)
CAS 235484,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,Krung Thep Mahanakhon (Bangkok),match,Koehler et al. (2019)
CAS 215116,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,China,"Shanjiang village, just S of Liuku, Yunnan",match,Koehler et al. (2019)
CAS 228131,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,China,"Shanjiang village, just S of Liuku, Yunnan",match,Koehler et al. (2019)
CAS 228129,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,China,"Liuku bridge, Yunnan",match,Koehler et al. (2019)
CAS 230367,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Verified,"Township, Pidaung Wildlife Sanctuary, near Ma-Li-Hka Village",match,
CAS 234814,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Myanmar,"Chin: Kanpatlat Township, in Kanpatlat",match,Koehler et al. (2019)
CAS 234815,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Myanmar,"Chin: Kanpatlat Township, in Kanpatlat",match,Koehler et al. (2019)
CAS 235276,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Myanmar,"Kanpatlat Township, Let Mon Village",match,Kotaki et al. (2010)
SMF 104127,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Mae Hong Son, Pangmapha, Ban Soppong",match,Kotaki et al. (2010)
Thai-1,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,Ranong,match,Kotaki et al. (2010)
Thai-2,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,Tha Ton,match,Kotaki et al. (2010)
Thai-3,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,Mae Hong Son,match,Koehler et al. (2019)
Thai-4,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,Nakhon Si Thammarat,match,Koehler et al. (2019)
SMF 104128,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Mae Hong Son, Pangmapha, Ban Soppong",match,Koehler et al. (2019)
SMF 104131,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Pangmapha, near Ban Nam Rin, Thailand",match,Koehler et al. (2019)
SMF 105119,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Ridge north of viewpoint between Pangmapha and Pai, Thailand",match,Ziegler et al. (2000)
SMF 105120,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Ridge north of viewpoint between Pangmapha and Pai, Thailand",match,Ziegler et al. (2000)
SMF 105121,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Pangmapha district, at NamLang River, Thailand",match,"Miller et al. (2022), unpublished"
TZ25,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Vietnam,North Vietnam,match,Grosjean et al. (2015)
TZ98105,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Vietnam,North Vietnam,match,Grosjean et al. (2015)
sample_100,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Vietnam,"Northern Karsh forest, Vietnam",match,Grosjean et al. (2015)
1999.5721,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Vietnam,"Lao Cai, Sapa",match,Grosjean et al. (2015)
2004.0208,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Laos,"Phongsali, Buon Tai, Laos",match,Grosjean et al. (2015)
2004.0309,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Laos,"Phongsali, Nathen, Laos",match,Grosjean et al. (2015)
2006.2411,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Laos,"Louangphrabang, Ban Sop Khao",match,Grosjean et al. (2015)
K3037,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Thailand,"Chiang Mai, Doi Chiang Dao",match,Grosjean et al. (2015)
K3085,Fejervarya limnocharis,Fejervarya limnocharis (Clade II),Fejervarya limnocharis,Clade II,Laos,"Louangphrabang, Ban Sop Khao",match,Grosjean et al. (2015)
FM_HN_01,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_02,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_03,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_04,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_05,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_06,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_07,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_08,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_09,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
FM_HN_10,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,Northern Chinese Mainland,mismatch,"Wang et al. (2016), direct submission"
MZ44_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1113_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1121_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_13111_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1317_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1343_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1345_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1346_MZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1516a_MT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1527_MZH,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1611b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1621_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1622b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1643b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1646b_BBY,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_1819b_DP,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
